Sample,Candida theae,Mesorhizobium kowhaii,Xenophilus sp. L33,Candidatus Gallionella acididurans,uncultured bacterium IN-06,Mucilaginibacter sp. OK098,Verrucomicrobium sp. GAS474,Candidatus Peregrinibacteria bacterium CG_4_10_14_0_2_um_filter_38_24,Verrucomicrobia bacterium Tous-C9LFEB,Verrucomicrobia bacterium LW23,Ramlibacter sp. 18x22-1,Tardiphaga sp. vice278,Microvirga thermotolerans,Mesorhizobium loti,Microvirga lupini,uncultured bacterium Bio7,Pinus canariensis,Oxytricha granulifera,Freesia hybrid cultivar,Streptomyces chlorus,clay_depth,sand_depth,silt_depth,pH_depth,coarse_depth,soilclass,soiltemp0to7cm,temp,totalrain,soilwater0to7cm,totalrain_long,temp_long,soiltemp_0_7_long,soilwater_0_7_long,temp_diff,rain_diff,soiltemp0to7cm_diff,soilwater0to7cm_diff,bulk_depth,Habitat,cation_depth,nitro_depth,orgcarbon_depth
G3051,0,16,22,9,0,8,9,0,19,28,21,1,38,25,20,0,0,0,0,0,24.6,34.2,41.3,6.1,2.21,6,24.39,24.68,0.000381949,0.48,0.000299031,23.86,23.87,0.44,0.822696726,8.29E-05,0.519025066,0.037889846,1.27,Dry_tropical_forests,20.3,3.6,44.2
G3055,0,28,28,11,0,27,21,0,19,29,21,9,24,79,14,0,0,0,0,0,24.4,45.3,30.3,5.7,2.33,18,24.38,25.49,0,0.26,4.91E-06,24.48,23.91,0.26,1.00792282,-4.91E-06,0.466795255,0.000237523,1.18,Moist_tropical_forests,25.4,4.85,43.9
G3057,0,27,24,10,0,17,21,0,15,26,19,8,28,70,18,0,0,0,0,0,27.1,42.5,30.5,5.4,1.79,0,22.95,24.05,7.67E-08,0.29,8.09E-06,23.12,22.61,0.3,0.935121915,-8.01E-06,0.342730039,-0.010093839,1.1,Moist_tropical_forests,24.9,4.02,42.6
G3059,0,17,35,9,0,14,12,0,31,36,18,10,25,59,16,0,0,0,0,0,30.1,45.5,24.4,5.6,1.2,0,24.8,25.01,0,0.27,8.87E-06,24.21,24.36,0.29,0.796075155,-8.87E-06,0.435503897,-0.014622078,1.17,Moist_tropical_forests,19.7,2.64,32.6
G3060,0,26,16,12,0,25,16,1,25,31,23,10,19,63,11,0,0,0,0,0,30.7,46.4,22.8,5.7,1.37,0,24.8,25.01,0,0.27,8.87E-06,24.21,24.36,0.29,0.796075155,-8.87E-06,0.435503897,-0.014622078,1.26,Dry_tropical_forests,18.6,2.68,25
G3308,0,38,31,16,0,15,15,0,28,30,27,3,74,52,32,1,0,0,0,0,16.2,57.1,26.6,5.9,1.23,23,0.69,0.74,7.82E-05,0.19,4.61E-05,4.74,4.65,0.15,-3.99453196,3.21E-05,-3.962958226,0.037970221,0.93,Temperate_deciduous_forests,42.9,9.06,137.8
G3318,0,36,22,46,0,10,22,8,49,32,15,29,40,126,22,0,0,0,0,0,14.2,57.9,28,6.2,1.21,24,0,-0.32,9.90E-05,0.31,4.90E-05,5.15,5.22,0.26,-5.468258362,5.00E-05,-5.218608178,0.055694997,0.91,Temperate_deciduous_forests,38,9.06,107.8
G3426,0,83,72,55,0,76,33,0,49,81,24,24,32,84,10,2,0,0,0,0,11.2,50.5,38.3,6.3,0.92,18,14.47,14.84,0.000122585,0.3,8.38E-05,12.17,12.17,0.34,2.669237268,3.88E-05,2.294220212,-0.037349889,0.69,Temperate_deciduous_forests,33.5,9.86,91.4
G3429,0,98,72,48,0,61,26,0,46,46,26,25,28,131,16,2,0,0,0,0,13.1,62.3,24.7,6,1.39,6,15.6,15.89,0.000102285,0.26,7.74E-05,13.59,14.03,0.2,2.308280179,2.49E-05,1.575095955,0.053983593,0.73,Temperate_deciduous_forests,35.6,9.09,104.7
G3484,0,84,109,26,0,209,29,0,46,41,86,16,64,164,33,2,0,0,0,0,34,32.9,33.1,6.4,2,6,19.69,16.47,5.99E-05,0,0.000112337,18.33,19.91,0,-1.864610588,-5.24E-05,-0.213409674,-1.65E-07,1.15,Grasslands_and_shrublands,22.9,5.71,100.2
G3487,0,43,43,9,0,34,19,1,23,43,22,13,60,135,28,0,0,0,0,0,31.5,41.4,27.1,6.8,1.49,18,20.4,18.34,8.26E-06,0,0.000112337,18.33,19.91,0,0.008218684,-0.000104072,0.491691007,8.12E-07,1.28,Temperate_deciduous_forests,22.4,5.01,80.2
G3504,0,128,97,18,0,79,52,1,50,66,42,17,54,175,25,1,0,0,0,0,34,32.9,33.1,6.4,2,6,19.69,16.47,5.99E-05,0,0.000112337,18.33,19.91,0,-1.864610588,-5.24E-05,-0.213409674,-1.65E-07,1.15,Temperate_deciduous_forests,22.9,5.71,100.2
S04,0,22,25,10,0,55,35,0,47,65,18,5,21,53,10,0,0,0,0,0,29.8,48.6,21.6,5.2,0.83,0,25.51,25.72,1.39E-05,0.19,0.00022277,24.43,24.61,0.22,1.289780612,-0.000208903,0.89790971,-0.028144568,1.09,Dry_tropical_forests,21.5,2.23,66.3
S05,0,38,34,14,0,53,49,0,87,112,16,17,26,81,10,0,0,0,0,0,29.8,48.6,21.6,5.2,0.83,0,25.51,25.72,1.39E-05,0.19,0.00022277,24.43,24.61,0.22,1.289780612,-0.000208903,0.89790971,-0.028144568,1.09,Dry_tropical_forests,21.5,2.23,66.3
S06,0,38,70,38,0,31,58,0,120,92,4,17,26,81,11,0,0,0,0,0,31.3,43.9,24.8,5,0.7,6,21.97,21.61,2.65E-05,0.41,0.000317579,20.36,20.72,0.39,1.248567197,-0.000291114,1.256862606,0.017290451,1.11,Moist_tropical_forests,21.8,3.51,50.9
S10,0,32,19,8,0,26,31,0,44,40,13,12,29,54,14,0,0,0,0,0,24.8,55.8,19.4,6.1,1.19,4,19.7,17.12,6.68E-05,0.26,8.09E-06,17.53,18.9,0.18,-0.405714195,5.87E-05,0.801494783,0.07887282,1.4,Savannas,11,1.51,18.4
S103,0,48,90,27,0,48,38,1,46,50,33,12,37,103,30,0,0,0,0,0,27.7,33.2,39.1,5.4,1.42,2,19.94,21.05,0,0.42,0.000163231,23.12,23.41,0.42,-2.0651338,-0.000163231,-3.469788387,-0.008862073,1.07,Temperate_coniferous_forests,21.2,3.83,51
S107,0,121,99,79,0,308,63,0,107,120,5,45,26,150,19,5,0,0,0,0,23.7,32.2,44.1,5.7,1.99,18,-5.77,-20.54,5.12E-05,0.32,2.77E-05,-17.85,-3.47,0.31,-2.687115008,2.35E-05,-2.297131583,0.006002042,1.04,Boreal_forests,31.8,8.49,127.5
S108,0,87,85,48,0,134,43,0,59,71,8,16,17,89,7,0,0,0,0,0,22.6,31.5,45.9,5.7,1.74,18,-15.16,-18.06,2.29E-05,0.3,1.76E-05,-16,-7.41,0.3,-2.06064376,5.31E-06,-7.75021167,-3.84E-05,1.08,Boreal_forests,30.4,8.31,92.9
S110,0,58,26,15,0,42,16,0,20,31,41,4,38,67,22,0,0,0,0,0,18.4,42.5,39.2,6.6,1.64,6,-9.37,-10.94,0,0.31,6.20E-06,-8.93,-7.74,0.28,-2.005012493,-6.20E-06,-1.62787376,0.029683223,1.12,Temperate_coniferous_forests,18,4.38,56.3
